Table_name,Table_description,Field_name,Field_description,Mapping
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWash,Need assistance on bathing at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionNutrition,Need of assistance in feeding at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionDress,Need of assistance in dressing at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionIntestinalincont,Presence or absence of fecal incontinence at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionUrinaryincont,Presence or absence of urinary incontinence at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionToilet,Need of assistance in toilet use at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionTransfer,Need of assistance in transfers (bed to chair and back) at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWalk,Need of assistance on mobility (on level surfaces) at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionStairs,Need of assistance on stairs climbing at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWheelchair,Need of assistance in using the wheelchair (if needed) at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionTotalScore,Barthel total score at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidDate,Barthel administration date at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidHygiene,Need assistance on grooming (i.e. personal care) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWash,Need assistance on bathing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidNutrition,Need of assistance in feeding at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidDress,Need of assistance in dressing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidIntestinalincont,Presence or absence of fecal incontinence at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidUrinaryincont,Presence or absence of urinary incontinence at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidToilet,Need of assistance in toilet use at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidTransfer,Need of assistance in transfers (bed to chair and back) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWalk,Need of assistance on mobility (on level surfaces) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidStairs,Need of assistance on stairs climbing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWheelchair,Need of assistance in using the wheelchair (if needed) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidTotalScore,Barthel total score at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeDate,Barthel administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeHygiene,Need assistance on grooming (i.e. personal care) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWash,Need assistance on bathing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeNutrition,Need of assistance in feeding at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeDress,Need of assistance in dressing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeIntestinalincont,Presence or absence of fecal incontinence at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeUrinaryincont,Presence or absence of urinary incontinence at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeToilet,Need of assistance in toilet use at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeTransfer,Need of assistance in transfers (bed to chair and back) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWalk,Need of assistance on mobility (on level surfaces) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeStairs,Need of assistance on stairs climbing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWheelchair,Need of assistance in using the wheelchair (if needed) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeTotalScore,Barthel total score at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDate,Emilia-Romagna Region (ERR) questionnaire on fall risk in hospital. Administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionHFall,RER questionnaire at admission. Occurrence of falls in previous year,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionFoF,RER questionnaire at admission. Fear of falling,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugCardio,RER questionnaire at admission. Use of drugs from the cardiologic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugPsyco,RER questionnaire at admission. Use of drugs from the psychotropic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugOtherThree,RER questionnaire at admission. Use of three or more drugs other than those from the cardiologic or psychotropic areas,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDiabetes,RER questionnaire at admission. Diabetes,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionCognitiveImp,RER questionnaire at admission. Cognitive impairment,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDate,RER questionnaire. Administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeHFall,RER questionnaire at discharge. Occurrence of falls in previous year,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeFallHS,RER questionnaire at discharge. Occurrence of falls during the hospital stay,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeFoF,RER questionnaire at discharge. Fear of falling,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugCardio,RER questionnaire at discharge. Use of drugs from the cardiologic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugPsyco,RER questionnaire at discharge. Use of drugs from the psychotropic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugOtherThree,RER questionnaire at discharge. Use of three or more drugs other than those from the cardiologic or psychotropic areas,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDiabetes,RER questionnaire at discharge. Diabetes,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeCognitiveImp,RER questionnaire at discharge. Cognitive impairment,"['Questionnaire', 'QuestionnaireResponse']"
