Table_name,Table_description,Field_name,Field_description,Mapping
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTInitialSteps_m,Mean number of steps between two trials derived from the answers collected through the structured set of questions of the Timed Walking Test (TWT) at baseline.,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeDate,Date on which the structured set of questions of the Timed Walking Test (TWT) was collected from the patient at discharge (T2).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeTime_m,Mean performance time between two trials derived from the answers collected through the structured set of questions of the Timed Walking Test (TWT) at discharge (T2).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",TWTDischargeSteps_m,Mean number of steps between two trials derived from the answers collected through the structured set of questions of the Timed Walking Test (TWT) at discharge (T2).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionDate,Date on which the structured set of questions of the Barthel Index was collected from the patient at admission (T1).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionHygiene,"Answer collected to the question about need of assistance in grooming and personal care, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWash,"Answer collected to the question about need of assistance in bathing, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionNutrition,"Answer collected to the question about need of assistance in feeding, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionDress,"Answer collected to the question about need of assistance in dressing, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionIntestinalincont,"Answer collected to the question about presence or absence of fecal incontinence, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionUrinaryincont,"Answer collected to the question about presence or absence of urinary incontinence, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionToilet,"Answer collected to the question about need of assistance in toilet use, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionTransfer,"Answer collected to the question about need of assistance in transfers (bed to chair and back), as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWalk,"Answer collected to the question about need of assistance in mobility on level surfaces, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionStairs,"Answer collected to the question about need of assistance in stair climbing, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionWheelchair,"Answer collected to the question about need of assistance in using the wheelchair, as part of the structured set of questions of the Barthel Index at admission (T1).","['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelAdmissionTotalScore,Overall score derived from the answers collected through the structured set of questions of the Barthel Index at admission (T1).,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidDate,Barthel administration date at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidHygiene,Need assistance on grooming (i.e. personal care) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWash,Need assistance on bathing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidNutrition,Need of assistance in feeding at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidDress,Need of assistance in dressing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidIntestinalincont,Presence or absence of fecal incontinence at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidUrinaryincont,Presence or absence of urinary incontinence at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidToilet,Need of assistance in toilet use at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidTransfer,Need of assistance in transfers (bed to chair and back) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWalk,Need of assistance on mobility (on level surfaces) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidStairs,Need of assistance on stairs climbing at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidWheelchair,Need of assistance in using the wheelchair (if needed) at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelMidTotalScore,Barthel total score at mid rehab pathway,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeDate,Barthel administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeHygiene,Need assistance on grooming (i.e. personal care) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWash,Need assistance on bathing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeNutrition,Need of assistance in feeding at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeDress,Need of assistance in dressing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeIntestinalincont,Presence or absence of fecal incontinence at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeUrinaryincont,Presence or absence of urinary incontinence at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeToilet,Need of assistance in toilet use at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeTransfer,Need of assistance in transfers (bed to chair and back) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWalk,Need of assistance on mobility (on level surfaces) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeStairs,Need of assistance on stairs climbing at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeWheelchair,Need of assistance in using the wheelchair (if needed) at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",BarthelDischargeTotalScore,Barthel questionnaire at discharge. Total score,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDate,Emilia-Romagna Region (ERR) questionnaire on fall risk in hospital. Administration date at admission,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionHFall,RER questionnaire at admission. Occurrence of falls in previous year,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionFoF,RER questionnaire at admission. Fear of falling,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugCardio,RER questionnaire at admission. Use of drugs from the cardiologic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugPsyco,RER questionnaire at admission. Use of drugs from the psychotropic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDrugOtherThree,RER questionnaire at admission. Use of three or more drugs other than those from the cardiologic or psychotropic areas,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionDiabetes,RER questionnaire at admission. Diabetes,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifAdmissionCognitiveImp,RER questionnaire at admission. Cognitive impairment,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDate,RER questionnaire. Administration date at discharge,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeHFall,RER questionnaire at discharge. Occurrence of falls in previous year,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeFallHS,RER questionnaire at discharge. Occurrence of falls during the hospital stay,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeFoF,RER questionnaire at discharge. Fear of falling,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugCardio,RER questionnaire at discharge. Use of drugs from the cardiologic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugPsyco,RER questionnaire at discharge. Use of drugs from the psychotropic area,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDrugOtherThree,RER questionnaire at discharge. Use of three or more drugs other than those from the cardiologic or psychotropic areas,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeDiabetes,RER questionnaire at discharge. Diabetes,"['Questionnaire', 'QuestionnaireResponse']"
Hospital Stay,"This table contains information about the hospital stays for rehabilitation training, including clinical evaluations, administrative information, and outcomes from functional tests and questionnaires, whose detailed information are provided in Table 2. Each row of this table represents a different hospital stay, identified by the unique combination of the anonymous patient ID and admission date, counting for a total number of 1962 entries.",RERMultifDischargeCognitiveImp,RER questionnaire at discharge. Cognitive impairment,"['Questionnaire', 'QuestionnaireResponse']"
